X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,Y
1,571,7,2635,6,22,1,3664,917,8,100,6400,4,11,65,8,241,6,73,3,4354,57,3259,34,1564,2533,2,2579,10759,1838,7604,42,961,11093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3805,2181,9655,5,1,3914,5,1,2958,5276,7,39,1076,11,3,10080,5,853,904,5437,2747,689,246,66,1100,912,8,4778,687,5,1287,1818,1818,6340,8,483,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
718,13,44,2934,2725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,21,267,28,6,193,6,1,101,6,37,132,2,5825,7,3,51,329,6,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1453,12,105,431,2,20,1755,18,11,8,39,541,4,5753,3529,11,9,53,23,158,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14,765,62,137,643,52,1,5058,4031,5,36,4162,57,120,48,37,5322,1,3372,584,5,1,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
301,11,431,1269,5,272,4,3627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
659,55,175,153,98,31,32,1735,10348,11,1,702,6,810,7,8499,15,51,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3296,353,10,3,3029,337,11,13004,33,1,2668,9,8,39,302,21,251,6,1059,9,13,65,1048,1404,9,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,316,5,195,1747,301,3,1136,521,1177,5,2791,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,7,3,14,63,221,519,2,1170,4,2775,2418,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,108,889,30,7937,7,19,304,909,669,4,690,4598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,3434,7,93,284,79,193,6,1,245,6,22,15141,104,1,556,2,1,179,2,1,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,5,1,1228,200,2346,2,680,455,101,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
205,2,9,12020,1,2919,79,288,520,39,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,789,234,6942,1695,17537,10,89,1,3729,5,1,54,2259,2897,48,153,1627,207,52,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4493,40,1221,3231,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,925,585,236,10,1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,18,8,2709,2,15703,717,60,11958,120,1799,6,4276,19,14841,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
301,3,2195,5,1,392,691,5,287,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,623,2,821,2,9856,5328,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,3,149,11,3315,62,5,1,584,229,686,10,2458,14,2,814,1155,5901,88,169,9,7,39,3194,2,39,9702,367,30,106,79,193,30,233,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1014,4,5583,1905,4977,5,1406,4,3280,239,3252,26,2935,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,16,415,2,13,16,120,15,1989,9,60,1788,2,9,8,3,715,3848,35,984,2851,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2052,3,168,736,16,723,45,9,53,15,3,8148,4,51,1153,4919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500,935,2,9,8,144,916,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17513,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,5880,92,43,11,768,47,1,12613,1780,155,124,204,10,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,30,3917,174,2,1160,1948,2384,3,3237,781,12,9,4777,104,1,330,43,761,2,9,356,2387,4,11,676,669,162,5215,15,2789,8,176,12,63,12,15,2045,513,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1950,11,6236,2293,1756,3574,161,38,8848,3167,14750,590,6,407,740,48,2303,3,148,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3588,6,1316,243,48,153,16719,2,15175,2,42,5653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2316,14,35,3,823,399,2,975,10,19,11982,13068,2,234,10,19,13225,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430,2,671,4,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,46,8,3,69,6,2119,5504,261,30,1,8215,5,2139,2,41,250,9,8,10,3030,28,1,96,763,1818,3524,93,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,9,84,22,402,6,263,967,1,100,311,5,110,4442,4,3,3408,2,9,8,3,163,32,623,14,34,94,1177,5,2027,782,2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,313,141,22,3266,4,345,2,9,80,1807,103,4,298,2212,2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6385,694,764,1,3336,18390,2,110,1860,7560,2,4,10915,17482,11,16465,2157,8,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1167,9369,7255,7,183,1738,10,102,8213,2,6284,5922,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,9,7,26,55,1083,38,87,90,2,4717,5506,7,3,4227,4,2159,378,26,3,8661,8552,823,2,3,282,14,3330,15,2643,6,22,213,26,36,1799,6,73,1,378,6,5871,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,54,813,18402,10,458,236,2,62,5,1,1369,29,39,5432,11,75,4229,24,136,16313,3,412,4765,24,2497,2023,7,1655,6,7343,52,1,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4904,2235,233,658,28,3,15026,2,4,1815,6041,315,102,131,1825,689,248,2,913,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,43,1073,19,1856,10,3,258,368,854,370,11,8,57,160,8364,34,1,857,5,1,175,56,5,1,69,2,140,2,17,7,3,1136,569,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9795,84,1506,37,885,17,8025,4,33,225,1253,18,3,137,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10912,783,12553,11175,2,1091,13267,598,199,13054,14903,947,5148,199,10142,18501,582,6610,706,4363,3963,16178,3313,2979,16130,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14,83,3,369,550,16,1,1766,5,1,4645,10,1573,1,4140,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8011,1620,28,2053,201,2,102,2496,16015,6,1,1111,2,102,117,2,17855,1958,723,68,6,11800,289,1,14882,16905,5,7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2589,765,20,1155,165,11,7432,313,394,10,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,148,18,2,30,148,126,2,11,257,88,3,431,1479,52,3,434,54,5,88,70,23,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1541,184,15563,4,2273,71,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,22,7064,20,402,1032,120,124,18126,8,1363,3011,1640,13,9,5366,4,2261,72,10573,12,1,450,284,126,133,3,2788,47,5,203,114,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,358,5784,5,6519,8,1634,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,19,6072,2,720,4,4325,69,2,1,18,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,229,37,39,56,1203,11,21,343,22,854,6,2642,6,114,1280,1,3773,441,2027,782,4,2606,1205,29,110,159,4586,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2606,4391,408,12004,1,3589,5,1,2220,2,5058,2,4,152,4647,1834,12,102,179,735,6,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
653,1,1673,1470,4,5378,17534,8234,96,3796,27,13056,841,93,2,1,175,18651,3,16349,2508,3618,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11386,21,250,2713,1681,31,531,47,5,4893,2,9,969,3,100,69,6,733,4,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
293,6,22,214,2,57,140,9,7862,103,118,5,19,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3932,9179,8238,2535,10154,3,12501,5,1421,3,168,844,997,2,3,168,32,306,15897,6,1,43,13,1,278,4722,406,764,1,1198,2,6120,2,485,5,1,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,343,250,26,339,756,84,37,213,77,5,7541,1039,8140,15,1812,5,4766,184,1,590,7,119,375,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
440,42,25,21,130,12517,26,94,5,2729,8,8509,24,1,134,4,1,152,2,2729,7,20,2079,282,4,1619,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,968,77,18,2,1751,270,26,8968,818,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,7,1,87,192,18,30,5724,1858,291,6007,8,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
513,31,298,74,573,42,758,81,2005,3972,3210,1732,6,1,171,3221,3707,7,3,68,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1,8335,898,10,1573,1,4480,5555,5,1,1406,10,17,16380,5,2059,4,430,7,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,645,6538,5753,5159,1,1345,5554,5,233,1466,2734,4457,2,17069,2,4,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3538,9657,2115,7,1114,4,63,4,910,10,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3605,7,3,137,827,5298,3,544,138,2,13,2786,4539,1529,160,234,1,16916,9,6591,35,19,2028,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,5,1,322,5,5468,3488,7,11,9,2457,1,436,15,1974,4,4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1187,5,1,2764,86,22,3,51,240,348,44,117,13,207,3330,15,3,6729,154,5,543,4,12006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
